average,rrData
68.6,890
67.9,906
68.3,867
68.8,859
68.6,882
68.1,898
67.200005,921
66.200005,937
65.4,945
65.8,898
66.3,890
66.5,898
66.6,898
66.0,929
64.9,960
63.9,976
64.1,929
64.9,898
65.700005,890
65.9,906
65.700005,921
65.0,945
63.8,984
63.4,960
63.9,921
63.9,937
63.9,937
63.8,945
64.5,906
66.1,859
66.9,875
67.4,875
67.4,890
68.3,851
68.8,859
68.6,882
68.200005,890
68.0,890
68.200005,875
68.700005,859
68.9,867
69.4,851
70.200005,835
71.1,820
71.3,835
71.5,835
72.200005,812
73.200005,796
73.4,812
73.3,820
73.3,820
72.5,851
71.700005,859
70.9,867
70.6,859
70.6,851
70.200005,867
69.200005,898
68.1,914
67.3,914
67.0,906
66.4,921
66.200005,914
65.700005,929
65.9,906
66.9,867
67.1,890
66.8,906
66.3,921
65.8,929
66.5,882
66.8,890
66.8,898
66.4,914
66.0,921
65.9,914
66.5,882
66.6,898
66.1,921
65.200005,953
64.5,953
65.0,906
65.0,921
65.200005,914
65.200005,921
65.200005,921
65.200005,921
64.5,953
64.3,937
63.9,953
64.4,914
64.6,921
64.1,953
63.0,992
63.5,929
63.7,937
63.5,953
63.0,968
63.5,929
64.3,906
64.700005,914
65.0,914
65.200005,914
66.0,882
66.200005,898
66.0,914
65.200005,945
65.0,929
65.700005,890
65.700005,914
65.4,929
65.0,937
65.200005,914
65.700005,898
65.700005,914
65.9,906
66.200005,898
66.9,875
66.9,898
66.700005,906
66.5,906
66.6,898
66.3,914
65.6,937
65.0,945
65.700005,890
65.9,906
66.0,906
66.4,890
67.6,851
68.700005,843
69.200005,851
68.8,882
67.8,914
67.5,898
66.8,921
66.0,937
65.200005,945
65.9,890
66.4,890
66.9,882
67.4,875
68.3,851
68.8,859
68.700005,875
68.3,890
68.4,875
68.5,875
68.3,882
67.8,898
67.700005,890
68.5,851
69.1,851
69.5,851
69.6,859
69.5,867
69.6,859
69.5,867
68.700005,898
67.9,906
67.700005,890
68.8,843
69.9,828
70.9,820
71.4,828
72.6,796
73.0,812
73.1,820
72.1,859
71.6,851
71.5,843
71.4,843
71.3,843
71.5,835
72.4,804
73.3,796
73.700005,804
74.0,804
74.4,796
75.1,781
75.200005,796
74.6,820
73.8,835
73.0,843
73.3,812
73.9,796
74.1,804
73.8,820
73.6,820
73.9,804
74.8,781
75.6,773
75.5,796
