timestamp,x,y,z
3701922,-0.5527618,9.483095,2.0459363
3701931,-0.58626246,9.382592,2.08183
3701941,-0.6460852,9.392164,2.3570144
3701950,-0.7130866,9.607526,2.574769
3701960,-0.6819788,9.66017,2.443159
3701969,-0.5910483,9.583597,2.4910173
3701978,-0.74658734,9.777423,2.340264
3701987,-0.63412064,9.839638,1.4046371
3701996,-0.45465255,9.284483,2.3570144
3702006,-0.39482984,9.7176,2.2804415
3702015,-0.45465255,9.495059,2.1512244
3702024,-0.58626246,9.250982,1.9238981
3702034,-0.57429796,9.497452,2.0196145
3702043,-0.62454903,9.593168,2.0172215
3702053,-0.69872916,9.459166,2.215833
3702062,-0.7226582,9.542917,2.4479449
3702071,-0.69633627,9.655384,2.2971919
3702081,-0.66044265,9.727171,2.266084
3702090,-0.5934412,9.772636,2.1751535
3702099,-0.5599405,9.715207,1.9908996
3702109,-0.5814767,9.643419,2.057901
3702118,-0.5312256,9.638634,2.3737648
3702128,-0.5336185,9.605133,2.1751535
3702137,-0.5647263,9.52856,2.010043
3702146,-0.6293348,9.492666,2.0866158
3702156,-0.5647263,9.45438,2.163189
3702165,-0.677193,9.428058,1.9908996
3702174,-0.60779864,9.375414,2.187118
3702184,-0.5168682,9.542917,1.9071478
3702193,-0.51208234,9.547704,2.3594074
3702204,-0.57669085,9.619491,2.2062612
3702213,-0.7154795,9.609919,2.1440456
3702223,-0.7059079,9.578811,2.3354783
3702232,-0.69155043,9.607526,2.1823323
3702242,-0.6580497,9.593168,1.9358627
3702251,-0.64369226,9.554882,2.2014754
3702261,-0.6173703,9.516596,2.395301
3702270,-0.64369226,9.583597,2.1919038
3702279,-0.5934412,9.466345,2.0985804
3702288,-0.6389065,9.607526,2.2182257
3702297,-0.5288327,9.617098,2.0626867
3702307,-0.5599405,9.607526,1.8545038
3702316,-0.5695121,9.56206,2.3618002
3702325,-0.49533197,9.516596,2.031579
3702335,-0.5049036,9.547704,2.1823323
3702344,-0.5025107,9.516596,2.2254045
3702354,-0.5910483,9.526167,1.9956853
3702363,-0.6293348,9.404129,2.4288018
3702372,-0.7226582,9.542917,2.0985804
3702382,-0.7489802,9.617098,2.132081
3702391,-0.70112205,9.526167,2.3139422
3702400,-0.7322299,9.679314,2.1536174
3702410,-0.6532639,9.710421,2.079437
3702419,-0.5312256,9.588383,2.2206187
3702429,-0.4091873,9.607526,1.9573988
3702438,-0.4115802,9.552489,2.3833365
3702447,-0.54797596,9.662563,1.9813279
3702457,-0.5360114,9.451987,1.8114314
3702466,-0.5360114,9.375414,2.5364826
3702475,-0.6748001,10.098072,2.4981961
3702485,-0.59583414,9.56924,2.2493336
3702494,-0.62454903,9.667349,2.0363648
3702504,-0.55036885,9.669742,2.163189
3702513,-0.5886554,9.495059,2.031579
3702522,-0.5072965,9.334735,2.371372
3702532,-0.63172776,9.428058,2.0937946
3702541,-0.63651353,9.47113,2.263691
3702550,-0.650871,9.566847,2.0674727
3702560,-0.63172776,9.619491,2.3833365
3702569,-0.5599405,9.684099,1.9765421
3702580,-0.5168682,9.583597,2.2325833
3702589,-0.5910483,9.638634,2.084223
3702599,-0.54797596,9.5500965,2.1990826
3702608,-0.5647263,9.440022,2.3139422
3702618,-0.5695121,9.4495945,2.0507221
3702627,-0.6460852,9.466345,2.1440456
3702637,-0.6795859,9.349092,2.132081
3702646,-0.69633627,9.5500965,2.1392598
3702655,-0.57908374,9.60274,2.0148287
3702664,-0.52165395,9.674527,2.1799393
3702673,-0.48336744,9.7176,2.2565124
3702683,-0.60779864,9.626669,2.0220072
3702692,-0.54079723,9.576418,1.5721406
3702701,-0.49533197,8.92794,2.112938
3702711,-0.598227,9.069121,2.9097762
3702720,-0.6197632,9.935354,2.5077677
3702731,-0.61497736,9.920997,2.1392598
3702740,-0.62454903,9.731957,2.0507221
3702750,-0.75615895,9.564454,2.0028641
3702759,-0.5264398,9.468738,2.1727605
3702769,-0.3517575,9.451987,2.187118
3702778,-0.39004403,9.526167,2.3570144
3702788,-0.39722276,9.6003475,2.215833
3702797,-0.4785816,9.557275,2.1201165
3702806,-0.51926106,9.473523,2.3043704
