Service,X,Y,Z
LinearAcc,-9.026050,-3.251962,6.697750, 
AngularVelocity,13.860000,-426.790009,-179.199997, 
MagneticField,-117.836830,-38.451958,-62.942326, 
LinearAcc,-5.049036,-4.950927,8.231604, 
AngularVelocity,23.030001,-185.500000,-144.759995, 
MagneticField,-103.811348,-47.973270,-81.546394, 
LinearAcc,-4.185196,-5.809981,6.106701, 
AngularVelocity,-76.300003,74.900002,-97.580002, 
MagneticField,-80.452194,-57.317364,-86.022804, 
LinearAcc,-5.754944,-2.280442,9.081086, 
AngularVelocity,-28.630001,52.150002,-91.279999, 
MagneticField,-72.325714,-61.599133,-84.453094, 
LinearAcc,-5.675978,-3.328535,7.563982, 
AngularVelocity,115.360001,65.940002,196.630005, 
MagneticField,-62.197968,-73.049103,-77.999298, 
LinearAcc,-7.032757,-2.215833,7.307941, 
AngularVelocity,113.050003,55.930000,300.160004, 
MagneticField,-78.240448,-55.558861,-84.744591, 
LinearAcc,-8.131102,1.856897,6.451280, 
AngularVelocity,43.330002,235.690002,223.649994, 
MagneticField,-104.219482,-33.659889,-86.576416, 
LinearAcc,-8.360821,3.359643,4.163660, 
AngularVelocity,5.740000,182.559998,47.740002, 
MagneticField,-113.066292,-14.334568,-81.689560, 
LinearAcc,-11.466816,2.579555,2.024400, 
AngularVelocity,76.650002,217.350006,-213.009995, 
MagneticField,-115.543358,-6.592854,-68.805382, 
LinearAcc,-11.438101,-1.938256,-1.742037, 
AngularVelocity,14.700000,177.800003,-209.440002, 
MagneticField,-116.500290,-16.882734,-57.445553, 
LinearAcc,-14.429235,-0.787267,0.861447, 
AngularVelocity,30.240000,76.160004,-110.949997, 
MagneticField,-111.325111,-40.205147,-50.960365, 
LinearAcc,-7.621412,-3.441002,-3.756866, 
AngularVelocity,-23.799999,83.580002,-76.510002, 
MagneticField,-104.300125,-48.967106,-41.485943, 
LinearAcc,-7.025578,-2.074651,-4.594384, 
AngularVelocity,-88.269997,52.849998,30.450001, 
MagneticField,-94.468582,-56.160458,-37.640064, 
LinearAcc,-8.516360,-2.467088,-5.853053, 
AngularVelocity,-73.570000,73.360001,64.190002, 
MagneticField,-88.118530,-50.507637,-28.830139, 
LinearAcc,-8.399107,-0.567119,-6.331635, 
AngularVelocity,-46.689999,26.389999,63.490002, 
MagneticField,-86.318497,-39.078716,-22.750843, 
LinearAcc,-3.043779,0.344579,-2.775773, 
AngularVelocity,66.010002,-39.130001,-69.019997, 
MagneticField,-80.301575,-33.137459,-16.551088, 
